process,process description,parameter,value,unit,description,
 , ,TotalDepth,Using output from proces [TotDepth            ],(m),total depth water column
 , ,fcover,0.00000,(-),fraction of water surface covered <0-1>
 , ,KLRearMax,1000.00,(m/d),maximum KLREAR oxygen for temp. correction
 , ,KLRearMin,0.200000,(m/d),minimum rearation transfer coefficient oxygen
 , ,Rain,0.00000,(mm/h),rainfall rate
 , ,coefAOxy,1.66000,(m/d),gas transfer Oxy coefficient transmission
 , ,coefB1Oxy,0.260000,{no unit},gas transfer O2 coefficient wind scale 1
 , ,coefB2Oxy,1.00000,{no unit},gas transfer O2 coefficient wind scale 2
 , ,coefC1Oxy,0.660000,{no unit},gas transfer O2 coefficient rain scale 1
 , ,coefC2Oxy,1.00000,{no unit},gas transfer O2 coefficient rain scale 2
 , ,coefD1Oxy,1800.06,{no unit},fresh water coefficient1 for Schmidt nr Oxy
 , ,coefD2Oxy,120.100,{no unit},fresh water coefficient2 for Schmidt nr Oxy
 , ,coefD3Oxy,3.78180,{no unit},fresh water coefficient3 for Schmidt nr Oxy
 , ,coefD4Oxy,0.476080E-01,{no unit},fresh water coefficient4 for Schmidt nr Oxy
SaturOXY,Saturation concentration oxygen,Cl,Using output from proces [Salinchlor          ],(g/m3),Chloride
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,SWSatOXY,1.00000,(-),switch for oxygen saturation formulation (1 2)
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
Nitrif_NH4,Nitrification of ammonium,ZNit,0.00000,(gN/m3/d),zeroth-order nitrification flux
 , ,NH4,Using substance nr   9,(gN/m3),Ammonium (NH4)
 , ,RcNit20,0.100000,(gN/m3/d),MM- nitrification rate at 20 oC
 , ,TcNit,1.11000,(-),temperature coefficient for nitrification
 , ,OXY,Using substance nr  25,,Dissolved Oxygen
 , ,KsAmNit,0.500000,(gN/m3),half saturation constant for ammonium cons.
 , ,KsOxNit,1.00000,(g/m3),half saturation constant for DO cons.
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,CTNit,-1.00000,(oC),critical temperature for nitrification
 , ,Rc0NitOx,0.00000,(gN/m3/d),zero-order nitrification rate at neg. DO
 , ,COXNIT,-1.00000,(g/m3),critical oxygen concentration for nitrification
 , ,Poros,1.00000,(-),volumetric porosity
 , ,SWVnNit,0.00000,(-),switch for old (0) new (1) TEWOR (2) version
 , ,RcNit,0.700000E-01,(1/d),first-order nitrification rate
 , ,OOXNIT,0.00000,(gO2/m3),optimum oxygen concentration for nitrification
 , ,CFLNIT,0.00000,(-),oxygen function level for oxygen below COXNIT
 , ,CurvNit,0.00000,(-),curvature of DO function for nitrification
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
DenWat_NO3,Denitrification in water column,ZDenWat,0.00000,(gN/m3/d),zero-order denitrification rate in water column
 , ,NO3,Using substance nr  10,(gN/m3),Nitrate (NO3)
 , ,RcDen20,0.100000,(gN/m3/d),MM-denitrification reaction rate at 20 oC
 , ,TcDenWat,1.11000,(-),temperature coefficient for denitrification
 , ,OXY,Using substance nr  25,,Dissolved Oxygen
 , ,KsNiDen,0.500000,(gN/m3),half saturation constant for nitrate cons.
 , ,KsOxDen,1.00000,(g/m3),half saturation constant for oxygen inhib.
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,CTDEN,2.00000,(oC),critical temperature for denitrification
 , ,Rc0DenOx,0.00000,(gN/m3/d),zero-order denit. rate at low temperature
 , ,COXDEN,101.000,(g/m3),critical oxygen concentration for denitrification
 , ,Poros,1.00000,(-),volumetric porosity
 , ,SWVnDen,0.00000,(-),switch to select old (0) or new (1) version
 , ,RcDenWat,0.600000E-02,(1/d),first-order denitrification rate in water column
 , ,OOXDEN,100.000,(gO2/m3),optimum oxygen concentration for denitrification
 , ,Curvat,1.00000,(-),curvature of DO function for denitrification
DenSed_NO3,Denitrification in sediment,ZDenSed,0.00000,(gN/m2/d),zeroth-order denitrification flux in the sediment
 , ,NO3,Using substance nr  10,(gN/m3),Nitrate (NO3)
 , ,RcDenSed,0.00000,(m/d),first-order denitrification rate in the sediment
 , ,TcDen,1.12000,(-),temperature coefficient for denitrification
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,CTDEN,2.00000,(oC),critical temperature for denitrification
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
AdsPO4AAP,Ad(De)Sorption ortho phosphorus to inorg. matter,SWAdsP,1.00000,(-),switch PO4 adsorption <0=Kd|1=Langmuir|2=pHdep>
 , ,PO4,Using substance nr  11,(gP/m3),Ortho-Phosphate (PO4)
 , ,AAP,0.00000,(gP/m3),adsorbed ortho phosphate
 , ,IM1,Using segment function nr  3,(gDM/m3),inorganic matter (IM1)
 , ,IM2,0.00000,(gDM/m3),inorganic matter (IM2)
 , ,IM3,0.00000,(gDM/m3),inorganic matter (IM3)
 , ,KdPO4AAP,0.100000,(m3/gP),distrib. coeff. (-) or ads. eq. const.
 , ,MaxPO4AAP,0.150000,(gP/gFe),adsorption capacity TIM for PO4
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,KadsP_20,3.80000,((mole/l)^(1-a)),Adsorption equilibrium constant at 20 oC
 , ,TCKadsP,1.00000,(-),temperature dependency constant Kads
 , ,RcAdPO4AAP,0.00000,(1/d),adsorption rate PO4 --> AAP
 , ,a_OH-PO4,0.200000,(moleOH/molePO4),OH-:PO4 ratio in sorption reaction
 , ,fr_FeIM1,0.300000E-01,(gFe/gDM),fraction Fe in inorg. matter IM1
 , ,fr_FeIM2,0.500000E-02,(gFe/gDM),fraction Fe in inorg. matter IM2
 , ,fr_FeIM3,0.100000E-02,(gFe/gDM),fraction Fe in inorg. matter IM3
 , ,fr_Feox,1.00000,(-),fraction reactive Fe of total Fe
 , ,OXY,Using substance nr  25,,Dissolved Oxygen
 , ,Cc_oxPsor,0.00000,(gO2/m3),critical oxygen conc for P sorption
 , ,pH,8.10000,(-),pH
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,Poros,1.00000,(-),volumetric porosity
 , ,SWVnAdsP,0.00000,(-),switch to select old(0) or new(1) version
 , ,fr_Fe,0.200000E-01,(gFe/gDM),fraction Fe in solid matter
 , ,RCadsPgem,1.00000,(1/d),pseudo first-order rate PO4 sorption
Compos,Composition,NO3,Using substance nr  10,(gN/m3),Nitrate (NO3)
 , ,NH4,Using substance nr   9,(gN/m3),Ammonium (NH4)
 , ,PO4,Using substance nr  11,(gP/m3),Ortho-Phosphate (PO4)
 , ,Si,Using substance nr  12,(gSi/m3),dissolved Silica (Si)
 , ,IM1,Using segment function nr  3,(gDM/m3),inorganic matter (IM1)
 , ,IM2,0.00000,(gDM/m3),inorganic matter (IM2)
 , ,IM3,0.00000,(gDM/m3),inorganic matter (IM3)
 , ,Phyt,Using output from proces [Phy_Blo             ],(gC/m3),total carbon in phytoplankton
 , ,AlgN,Using output from proces [Phy_Blo             ],(gN/m3),total nitrogen in algae
 , ,AlgP,Using output from proces [Phy_Blo             ],(gP/m3),total phosphorus in algae
 , ,AlgSi,Using output from proces [Phy_Blo             ],(gSi/m3),total silica in algae
 , ,AlgDM,Using output from proces [Phy_Blo             ],(gDM/m3),total DM in algae
 , ,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,POC2,0.00000,(gC/m3),POC2 (medium decomposing fraction)
 , ,POC3,0.00000,(gC/m3),POC3 (slow decomposing fraction)
 , ,POC4,0.00000,(gC/m3),POC4 (particulate refractory fraction)
 , ,PON1,Using substance nr   6,,PON1 (fast decomposing fraction)
 , ,DOC,0.00000,(gC/m3),Dissolved Organic Carbon (DOC)
 , ,DON,0.00000,(gN/m3),Dissolved Organic Nitrogen (DON)
 , ,DOP,0.00000,(gP/m3),Dissolved Organic Phosphorus (DOP)
 , ,DOS,0.00000,(gS/m3),Dissolved Organic Sulphur (DOS)
 , ,AAP,0.00000,(gP/m3),adsorbed ortho phosphate
 , ,VIVP,0.00000,(gP/m3),Vivianite-P
 , ,APATP,0.00000,(gP/m3),Apatite-P
 , ,DMCFIM1,1.00000,(gDM/gDM),DM:C ratio IM1
 , ,DMCFIM2,1.00000,(gDM/gDM),DM:C ratio IM2
 , ,DMCFIM3,1.00000,(gDM/gDM),DM:C ratio IM3
 , ,PON2,0.00000,,PON2 (medium decomposing fraction)
 , ,PON3,0.00000,(gN/m3),PON3 (slow decomposing fraction)
 , ,PON4,0.00000,(gN/m3),PON4 (particulate refractory fraction)
 , ,POP1,Using substance nr   7,,POP1 (fast decomposing fraction)
 , ,POP2,0.00000,,POP2 (medium decomposing fraction)
 , ,POP3,0.00000,(gP/m3),POP3 (slow decomposing fraction)
 , ,POP4,0.00000,(gP/m3),POP4 (particulate refractory fraction)
 , ,POS1,0.00000,,POS1 (fast decomposing fraction)
 , ,POS2,0.00000,,POS2 (medium decomposing fraction)
 , ,POS3,0.00000,(gS/m3),POS3 (slow decomposing  fraction)
 , ,POS4,0.00000,(gS/m3),POS4 (particulate refractory fraction)
 , ,Opal,Using substance nr   8,,Opal-Si
 , ,DmCfPOC1,2.50000,(gDM/gC),DM:C ratio POC1
 , ,DmCfPOC2,2.50000,(gDM/gC),DM:C ratio POC2
 , ,DmCfPOC3,2.50000,(gDM/gC),DM:C ratio POC3
 , ,DmCfPOC4,2.50000,(gDM/gC),DM:C ratio POC4
S2_Comp,Composition sediment layer S2,IM1S2,0.00000,(gDM/m2),IM1 in layer S2
 , ,IM2S2,0.00000,(gDM/m2),IM2 in layer S2
 , ,IM3S2,0.00000,(gDM/m2),IM3 in layer S2
 , ,DetCS2,0.00000,(gC/m2),DetC in layer S2
 , ,OOCS2,0.00000,(gC/m2),OOC in layer S2
 , ,DiatS2,0.00000,(gC/m2),Diatoms in layer S2
 , ,GreenS2,0.00000,(gC/m2),Algae in layer S2
 , ,AAPS2,0.00000,(gP/m2),adsorbed O-PO4 in layer S2
 , ,DMCFIM1,1.00000,(gDM/gDM),DM:C ratio IM1
 , ,DMCFIM2,1.00000,(gDM/gDM),DM:C ratio IM2
 , ,DMCFIM3,1.00000,(gDM/gDM),DM:C ratio IM3
 , ,DMCFDetCS,1.70000,(gDM/gC),DM:C ratio DetCS1 and DetCS2
 , ,DMCFOOCS,1.70000,(gDM/gC),DM:C ratio POCS1 and POCS2
 , ,DMCFDiatS,1.70000,(gDM/gC),DM:C ratio DiatS1 and DiatS2
 , ,DMCFGreenS,1.70000,(gDM/gC),DM:C ratio GreenS1 and GreenS2
 , ,RHOIM1,0.260000E+07,(gDM/m3),bulk density IM1
 , ,RHOIM2,0.260000E+07,(gDM/m3),bulk density IM2
 , ,RHOIM3,0.260000E+07,(gDM/m3),bulk density IM3
 , ,RHODetC,0.130000E+07,(gDM/m3),bulk density DetC
 , ,RHOOOC,0.130000E+07,(gDM/m3),bulk density OOC
 , ,RHODiat,0.130000E+07,(gDM/m3),bulk density Diatoms
 , ,RHOGreen,0.130000E+07,(gDM/m3),bulk density Greens
 , ,PORS2,0.00000,(m3pores/m3bulk),porosity of sediment layer S2
 , ,Surf,Using parameter nr 44,(m2),horizontal surface area of a DELWAQ segment
 , ,DetNS2,0.00000,(gN/m2),DetN in layer S2
 , ,DetPS2,0.00000,(gP/m2),DetP in layer S2
 , ,DetSiS2,0.00000,(gSi/m2),DetSi in layer S2
 , ,OONS2,0.00000,(gN/m2),OON in layer S2
 , ,OOPS2,0.00000,(gP/m2),OOP in layer S2
 , ,OOSiS2,0.00000,(gSi/m2),OOSi in layer S2
 , ,MPB1peliS2,0.00000,(gC/m2),MPB epipelic biomass in layer S2
 , ,MPB2psamS2,0.00000,(gC/m2),MPB n-diat biomass in sediment S2
 , ,DmCfMPB1,2.50000,(gDM/gC),DM:C ratio MPB1 algae
 , ,DmCfMPB2,2.50000,(gDM/gC),DM:C ratio MPB2 algae
 , ,RhoOM,0.130000E+07,(gDM/m3OM),dry bulk density organic matter
 , ,RhoOM,0.130000E+07,(gDM/m3OM),dry bulk density organic matter
S1_Comp,Composition sediment layer S1,IM1S1,0.100000E+08,(gDM/m2),IM1 in layer S1
 , ,IM2S1,0.00000,(gDM/m2),IM2 in layer S1
 , ,IM3S1,0.00000,(gDM/m2),IM3 in layer S1
 , ,DetCS1,Using substance nr  29,(gC/m2),DetC in layer S1
 , ,OOCS1,0.00000,(gC/m2),OOC in layer S1
 , ,DiatS1,0.00000,(gC/m2),Diatoms in layer S1
 , ,GreenS1,0.00000,(gC/m2),Algae in layer S1
 , ,AAPS1,0.00000,(gP/m2),adsorbed O-PO4 in layer S1
 , ,DMCFIM1,1.00000,(gDM/gDM),DM:C ratio IM1
 , ,DMCFIM2,1.00000,(gDM/gDM),DM:C ratio IM2
 , ,DMCFIM3,1.00000,(gDM/gDM),DM:C ratio IM3
 , ,DMCFDetCS,1.70000,(gDM/gC),DM:C ratio DetCS1 and DetCS2
 , ,DMCFOOCS,1.70000,(gDM/gC),DM:C ratio POCS1 and POCS2
 , ,DMCFDiatS,1.70000,(gDM/gC),DM:C ratio DiatS1 and DiatS2
 , ,DMCFGreenS,1.70000,(gDM/gC),DM:C ratio GreenS1 and GreenS2
 , ,RHOIM1,0.260000E+07,(gDM/m3),bulk density IM1
 , ,RHOIM2,0.260000E+07,(gDM/m3),bulk density IM2
 , ,RHOIM3,0.260000E+07,(gDM/m3),bulk density IM3
 , ,RHODetC,0.130000E+07,(gDM/m3),bulk density DetC
 , ,RHOOOC,0.130000E+07,(gDM/m3),bulk density OOC
 , ,RHODiat,0.130000E+07,(gDM/m3),bulk density Diatoms
 , ,RHOGreen,0.130000E+07,(gDM/m3),bulk density Greens
 , ,PORS1,0.300000,(-),porosity of sediment layer S1
 , ,Surf,Using parameter nr 44,(m2),horizontal surface area of a DELWAQ segment
 , ,DetNS1,Using substance nr  30,(gN/m2),DetN in layer S1
 , ,DetPS1,Using substance nr  31,(gP/m2),DetP in layer S1
 , ,DetSiS1,Using substance nr  32,(gSi/m2),DetSi in layer S1
 , ,OONS1,0.00000,(gN/m2),OON in layer S1
 , ,OOPS1,0.00000,(gP/m2),OOP in layer S1
 , ,OOSiS1,0.00000,(gSi/m2),OOSi in layer S1
 , ,MPB1peliS1,0.00000,(gC/m2),MPB epipelic biomass in layer S1
 , ,MPB2psamS1,0.00000,(gC/m2),MPB n-diat biomass in layer S1
 , ,DmCfMPB1,2.50000,(gDM/gC),DM:C ratio MPB1 algae
 , ,DmCfMPB2,2.50000,(gDM/gC),DM:C ratio MPB2 algae
 , ,RhoOM,0.130000E+07,(gDM/m3OM),dry bulk density organic matter
 , ,RhoOM,0.130000E+07,(gDM/m3OM),dry bulk density organic matter
Phy_Blo,Computation of phytoplankton output - Bloom,NAlgBloom,30.0000,(-),number of algae types in BLOOM
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,BLOOMALG19,-101.000,(gC/m3),concentration of algae type 19
 , ,BLOOMALG20,-101.000,(gC/m3),concentration of algae type 20
 , ,BLOOMALG21,-101.000,(gC/m3),concentration of algae type 21
 , ,BLOOMALG22,-101.000,(gC/m3),concentration of algae type 22
 , ,BLOOMALG23,-101.000,(gC/m3),concentration of algae type 23
 , ,BLOOMALG24,-101.000,(gC/m3),concentration of algae type 24
 , ,BLOOMALG25,-101.000,(gC/m3),concentration of algae type 25
 , ,BLOOMALG26,-101.000,(gC/m3),concentration of algae type 26
 , ,BLOOMALG27,-101.000,(gC/m3),concentration of algae type 27
 , ,BLOOMALG28,-101.000,(gC/m3),concentration of algae type 28
 , ,BLOOMALG29,-101.000,(gC/m3),concentration of algae type 29
 , ,BLOOMALG30,-101.000,(gC/m3),concentration of algae type 30
 , ,SpecAlg01,1.00000,(-),number of the group for algae type 01
 , ,SpecAlg02,1.00000,(-),number of the group for algae type 02
 , ,SpecAlg03,1.00000,(-),number of the group for algae type 03
 , ,SpecAlg04,2.00000,(-),number of the group for algae type 04
 , ,SpecAlg05,2.00000,(-),number of the group for algae type 05
 , ,SpecAlg06,2.00000,(-),number of the group for algae type 06
 , ,SpecAlg07,3.00000,(-),number of the group for algae type 07
 , ,SpecAlg08,3.00000,(-),number of the group for algae type 08
 , ,SpecAlg09,3.00000,(-),number of the group for algae type 09
 , ,SpecAlg10,4.00000,(-),number of the group for algae type 10
 , ,SpecAlg11,4.00000,(-),number of the group for algae type 11
 , ,SpecAlg12,4.00000,(-),number of the group for algae type 12
 , ,SpecAlg13,5.00000,(-),number of the group for algae type 13
 , ,SpecAlg14,5.00000,(-),number of the group for algae type 14
 , ,SpecAlg15,5.00000,(-),number of the group for algae type 15
 , ,SpecAlg16,6.00000,(-),number of the group for algae type 16
 , ,SpecAlg17,6.00000,(-),number of the group for algae type 17
 , ,SpecAlg18,6.00000,(-),number of the group for algae type 18
 , ,SpecAlg19,0.00000,(-),number of the group for algae type 19
 , ,SpecAlg20,0.00000,(-),number of the group for algae type 20
 , ,SpecAlg21,0.00000,(-),number of the group for algae type 21
 , ,SpecAlg22,0.00000,(-),number of the group for algae type 22
 , ,SpecAlg23,0.00000,(-),number of the group for algae type 23
 , ,SpecAlg24,0.00000,(-),number of the group for algae type 24
 , ,SpecAlg25,0.00000,(-),number of the group for algae type 25
 , ,SpecAlg26,0.00000,(-),number of the group for algae type 26
 , ,SpecAlg27,0.00000,(-),number of the group for algae type 27
 , ,SpecAlg28,0.00000,(-),number of the group for algae type 28
 , ,SpecAlg29,0.00000,(-),number of the group for algae type 29
 , ,SpecAlg30,0.00000,(-),number of the group for algae type 30
 , ,NCRMDI_E,0.255000,NOUNIT,N:C ratio algae type 01
 , ,NCRMDI_N,0.125000,NOUNIT,N:C ratio algae type 02
 , ,NCRMDI_P,0.150000,NOUNIT,N:C ratio algae type 03
 , ,NCRMFL_E,0.200000,NOUNIT,N:C ratio algae type 04
 , ,NCRMFL_N,0.140000,NOUNIT,N:C ratio algae type 05
 , ,NCRMFL_P,0.200000,NOUNIT,N:C ratio algae type 06
 , ,NCRDIN_E,0.162500,NOUNIT,N:C ratio algae type 07
 , ,NCRDIN_N,0.125000,NOUNIT,N:C ratio algae type 08
 , ,NCRDIN_P,0.137500,NOUNIT,N:C ratio algae type 09
 , ,NCRPHA_E,0.187500,NOUNIT,N:C ratio algae type 10
 , ,NCRPHA_N,0.135000,NOUNIT,N:C ratio algae type 11
 , ,NCRPHA_P,0.187500,NOUNIT,N:C ratio algae type 12
 , ,NCRULS_E,0.255100,NOUNIT,N:C ratio algae type 13
 , ,NCRULS_N,0.125100,NOUNIT,N:C ratio algae type 14
 , ,NCRULS_P,0.150100,NOUNIT,N:C ratio algae type 15
 , ,NCRULF_E,0.255100,NOUNIT,N:C ratio algae type 16
 , ,NCRULF_N,0.125100,NOUNIT,N:C ratio algae type 17
 , ,NCRULF_P,0.150100,NOUNIT,N:C ratio algae type 18
 , ,NCRAlg19,0.200000,(gN/gC),N:C ratio algae type 19
 , ,NCRAlg20,0.200000,(gN/gC),N:C ratio algae type 20
 , ,NCRAlg21,0.200000,(gN/gC),N:C ratio algae type 21
 , ,NCRAlg22,0.200000,(gN/gC),N:C ratio algae type 22
 , ,NCRAlg23,0.200000,(gN/gC),N:C ratio algae type 23
 , ,NCRAlg24,0.200000,(gN/gC),N:C ratio algae type 24
 , ,NCRAlg25,0.200000,(gN/gC),N:C ratio algae type 25
 , ,NCRAlg26,0.200000,(gN/gC),N:C ratio algae type 26
 , ,NCRAlg27,0.200000,(gN/gC),N:C ratio algae type 27
 , ,NCRAlg28,0.200000,(gN/gC),N:C ratio algae type 28
 , ,NCRAlg29,0.200000,(gN/gC),N:C ratio algae type 29
 , ,NCRAlg30,0.200000,(gN/gC),N:C ratio algae type 30
 , ,PCRMDI_E,0.315000E-01,NOUNIT,P:C ratio algae type 01
 , ,PCRMDI_N,0.175000E-01,NOUNIT,P:C ratio algae type 02
 , ,PCRMDI_P,0.112500E-01,NOUNIT,P:C ratio algae type 03
 , ,PCRMFL_E,0.200000E-01,NOUNIT,P:C ratio algae type 04
 , ,PCRMFL_N,0.150000E-01,NOUNIT,P:C ratio algae type 05
 , ,PCRMFL_P,0.112500E-01,NOUNIT,P:C ratio algae type 06
 , ,PCRDIN_E,0.167500E-01,NOUNIT,P:C ratio algae type 07
 , ,PCRDIN_N,0.150000E-01,NOUNIT,P:C ratio algae type 08
 , ,PCRDIN_P,0.130000E-01,NOUNIT,P:C ratio algae type 09
 , ,PCRPHA_E,0.225000E-01,NOUNIT,P:C ratio algae type 10
 , ,PCRPHA_N,0.212500E-01,NOUNIT,P:C ratio algae type 11
 , ,PCRPHA_P,0.112500E-01,NOUNIT,P:C ratio algae type 12
 , ,PCRULS_E,0.315100E-01,NOUNIT,P:C ratio algae type 13
 , ,PCRULS_N,0.175100E-01,NOUNIT,P:C ratio algae type 14
 , ,PCRULS_P,0.112600E-01,NOUNIT,P:C ratio algae type 15
 , ,PCRULF_E,0.315100E-01,NOUNIT,P:C ratio algae type 16
 , ,PCRULF_N,0.175100E-01,NOUNIT,P:C ratio algae type 17
 , ,PCRULF_P,0.112600E-01,NOUNIT,P:C ratio algae type 18
 , ,PCRAlg19,0.200000E-01,(gP/gC),P:C ratio algae type 19
 , ,PCRAlg20,0.200000E-01,(gP/gC),P:C ratio algae type 20
 , ,PCRAlg21,0.200000E-01,(gP/gC),P:C ratio algae type 21
 , ,PCRAlg22,0.200000E-01,(gP/gC),P:C ratio algae type 22
 , ,PCRAlg23,0.200000E-01,(gP/gC),P:C ratio algae type 23
 , ,PCRAlg24,0.200000E-01,(gP/gC),P:C ratio algae type 24
 , ,PCRAlg25,0.200000E-01,(gP/gC),P:C ratio algae type 25
 , ,PCRAlg26,0.200000E-01,(gP/gC),P:C ratio algae type 26
 , ,PCRAlg27,0.200000E-01,(gP/gC),P:C ratio algae type 27
 , ,PCRAlg28,0.200000E-01,(gP/gC),P:C ratio algae type 28
 , ,PCRAlg29,0.200000E-01,(gP/gC),P:C ratio algae type 29
 , ,PCRAlg30,0.200000E-01,(gP/gC),P:C ratio algae type 30
 , ,SCRMDI_E,0.447000,NOUNIT,Si:C ratio algae type 01
 , ,SCRMDI_N,0.283000,NOUNIT,Si:C ratio algae type 02
 , ,SCRMDI_P,0.283000,NOUNIT,Si:C ratio algae type 03
 , ,SCRMFL_E,0.00000,NOUNIT,Si:C ratio algae type 04
 , ,SCRMFL_N,0.00000,NOUNIT,Si:C ratio algae type 05
 , ,SCRMFL_P,0.00000,NOUNIT,Si:C ratio algae type 06
 , ,SCRDIN_E,0.00000,NOUNIT,Si:C ratio algae type 07
 , ,SCRDIN_N,0.00000,NOUNIT,Si:C ratio algae type 08
 , ,SCRDIN_P,0.00000,NOUNIT,Si:C ratio algae type 09
 , ,SCRPHA_E,0.00000,NOUNIT,Si:C ratio algae type 10
 , ,SCRPHA_N,0.00000,NOUNIT,Si:C ratio algae type 11
 , ,SCRPHA_P,0.00000,NOUNIT,Si:C ratio algae type 12
 , ,SCRULS_E,0.447100,NOUNIT,Si:C ratio algae type 13
 , ,SCRULS_N,0.283100,NOUNIT,Si:C ratio algae type 14
 , ,SCRULS_P,0.283100,NOUNIT,Si:C ratio algae type 15
 , ,SCRULF_E,0.447100,NOUNIT,Si:C ratio algae type 16
 , ,SCRULF_N,0.283100,NOUNIT,Si:C ratio algae type 17
 , ,SCRULF_P,0.283100,NOUNIT,Si:C ratio algae type 18
 , ,SCRAlg19,0.200000E-02,(gSi/gC),Si:C ratio algae type 19
 , ,SCRAlg20,0.200000E-02,(gSi/gC),Si:C ratio algae type 20
 , ,SCRAlg21,0.200000E-02,(gSi/gC),Si:C ratio algae type 21
 , ,SCRAlg22,0.200000E-02,(gSi/gC),Si:C ratio algae type 22
 , ,SCRAlg23,0.200000E-02,(gSi/gC),Si:C ratio algae type 23
 , ,SCRAlg24,0.200000E-02,(gSi/gC),Si:C ratio algae type 24
 , ,SCRAlg25,0.200000E-02,(gSi/gC),Si:C ratio algae type 25
 , ,SCRAlg26,0.200000E-02,(gSi/gC),Si:C ratio algae type 26
 , ,SCRAlg27,0.200000E-02,(gSi/gC),Si:C ratio algae type 27
 , ,SCRAlg28,0.200000E-02,(gSi/gC),Si:C ratio algae type 28
 , ,SCRAlg29,0.200000E-02,(gSi/gC),Si:C ratio algae type 29
 , ,SCRAlg30,0.200000E-02,(gSi/gC),Si:C ratio algae type 30
 , ,DMCFMDI_E,3.00000,NOUNIT,DM:C ratio algae type 01
 , ,DMCFMDI_N,3.00000,NOUNIT,DM:C ratio algae type 02
 , ,DMCFMDI_P,3.00000,NOUNIT,DM:C ratio algae type 03
 , ,DMCFMFL_E,2.50000,NOUNIT,DM:C ratio algae type 04
 , ,DMCFMFL_N,2.50000,NOUNIT,DM:C ratio algae type 05
 , ,DMCFMFL_P,2.50000,NOUNIT,DM:C ratio algae type 06
 , ,DMCFDIN_E,2.50000,NOUNIT,DM:C ratio algae type 07
 , ,DMCFDIN_N,2.50000,NOUNIT,DM:C ratio algae type 08
 , ,DMCFDIN_P,2.50000,NOUNIT,DM:C ratio algae type 09
 , ,DMCFPHA_E,2.50000,NOUNIT,DM:C ratio algae type 10
 , ,DMCFPHA_N,2.50000,NOUNIT,DM:C ratio algae type 11
 , ,DMCFPHA_P,2.50000,NOUNIT,DM:C ratio algae type 12
 , ,DMCFULS_E,3.00000,NOUNIT,DM:C ratio algae type 13
 , ,DMCFULS_N,3.00000,NOUNIT,DM:C ratio algae type 14
 , ,DMCFULS_P,3.00000,NOUNIT,DM:C ratio algae type 15
 , ,DMCFULF_E,3.00000,NOUNIT,DM:C ratio algae type 16
 , ,DMCFULF_N,3.00000,NOUNIT,DM:C ratio algae type 17
 , ,DMCFULF_P,3.00000,NOUNIT,DM:C ratio algae type 18
 , ,DMCFAlg19,2.50000,(gDM/gC),DM:C ratio algae type 19
 , ,DMCFAlg20,2.50000,(gDM/gC),DM:C ratio algae type 20
 , ,DMCFAlg21,2.50000,(gDM/gC),DM:C ratio algae type 21
 , ,DMCFAlg22,2.50000,(gDM/gC),DM:C ratio algae type 22
 , ,DMCFAlg23,2.50000,(gDM/gC),DM:C ratio algae type 23
 , ,DMCFAlg24,2.50000,(gDM/gC),DM:C ratio algae type 24
 , ,DMCFAlg25,2.50000,(gDM/gC),DM:C ratio algae type 25
 , ,DMCFAlg26,2.50000,(gDM/gC),DM:C ratio algae type 26
